job_id,title,description,skills,riasec_vector,tags_en
19-4051.02,Nuclear Monitoring Technicians,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.",,"[0.8742857142857143, 0.6171428571428572, 0.14285714285714285, 0.2642857142857143, 0.23857142857142857, 0.7885714285714285]",active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|mathematics|monitoring|operations-monitoring|reading-comprehension|speaking|writing
19-4061.00,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",,"[0.35428571428571426, 0.8571428571428571, 0.2928571428571428, 0.39428571428571424, 0.33571428571428574, 0.8257142857142857]",active-learning|active-listening|complex-problem-solving|critical-thinking|learning-strategies|mathematics|monitoring|reading-comprehension|science|speaking|writing
19-4071.00,Forest and Conservation Technicians,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.",,"[0.9328571428571429, 0.6271428571428571, 0.14285714285714285, 0.40285714285714286, 0.3514285714285714, 0.6714285714285715]",active-listening|coordination|critical-thinking|judgment-and-decision-making|monitoring|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
19-4092.00,Forensic Science Technicians,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.",,"[0.7185714285714286, 0.8728571428571429, 0.2571428571428572, 0.2414285714285714, 0.24428571428571427, 0.72]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|science|speaking|writing
19-4099.01,Quality Control Analysts,"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.",,"[0.58, 0.7085714285714285, 0.16, 0.16999999999999998, 0.3457142857142857, 0.8328571428571429]",active-learning|active-listening|complex-problem-solving|critical-thinking|mathematics|monitoring|operations-monitoring|quality-control-analysis|reading-comprehension|speaking|writing
19-4099.03,Remote Sensing Technicians,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.",,"[0.7371428571428572, 0.6671428571428571, 0.29, 0.21, 0.23857142857142857, 0.7371428571428572]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|mathematics|monitoring|reading-comprehension|speaking|systems-analysis|writing
19-5011.00,Occupational Health and Safety Specialists,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.",,"[0.66, 0.7128571428571429, 0.17142857142857143, 0.48142857142857143, 0.4442857142857143, 0.687142857142857]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|social-perceptiveness|speaking|systems-analysis|systems-evaluation|writing
19-5012.00,Occupational Health and Safety Technicians,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.",,"[0.7671428571428571, 0.7028571428571428, 0.14285714285714285, 0.43, 0.39142857142857146, 0.7557142857142857]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.",,"[0.23142857142857146, 0.5428571428571428, 0.3385714285714286, 0.9500000000000001, 0.39, 0.5214285714285715]",active-learning|active-listening|coordination|critical-thinking|judgment-and-decision-making|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Advise and assist students and provide educational and vocational guidance services.,,"[0.14285714285714285, 0.47285714285714286, 0.48857142857142855, 1.0, 0.6014285714285714, 0.4828571428571428]",active-learning|active-listening|critical-thinking|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1013.00,Marriage and Family Therapists,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders.",,"[0.21285714285714286, 0.75, 0.5114285714285715, 0.9028571428571429, 0.26571428571428574, 0.4042857142857143]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1014.00,Mental Health Counselors,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging.",,"[0.18857142857142858, 0.6342857142857143, 0.43714285714285717, 0.9657142857142856, 0.41571428571428576, 0.4928571428571429]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|learning-strategies|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1015.00,Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.",,"[0.1757142857142857, 0.4657142857142857, 0.42714285714285716, 0.9728571428571428, 0.5085714285714286, 0.4657142857142857]",active-listening|coordination|critical-thinking|learning-strategies|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1021.00,"Child, Family, and School Social Workers","Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.",,"[0.24285714285714285, 0.47428571428571425, 0.41428571428571426, 0.9785714285714285, 0.4185714285714286, 0.51]",active-listening|coordination|critical-thinking|judgment-and-decision-making|monitoring|negotiation|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1022.00,Healthcare Social Workers,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",,"[0.2814285714285714, 0.6057142857142858, 0.33285714285714285, 0.9885714285714285, 0.3614285714285714, 0.43714285714285717]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1023.00,Mental Health and Substance Abuse Social Workers,"Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.",,"[0.24571428571428572, 0.5828571428571429, 0.39714285714285713, 0.9942857142857143, 0.3457142857142857, 0.43571428571428567]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|learning-strategies|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1091.00,Health Education Specialists,"Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs.",,"[0.23428571428571426, 0.7571428571428571, 0.3614285714285714, 0.88, 0.4571428571428572, 0.5685714285714286]",active-learning|active-listening|coordination|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|time-management|writing
21-1092.00,Probation Officers and Correctional Treatment Specialists,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations.",,"[0.32, 0.4957142857142857, 0.31428571428571433, 0.8042857142857143, 0.5571428571428572, 0.5871428571428572]",active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1093.00,Social and Human Service Assistants,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",,"[0.18, 0.39999999999999997, 0.2814285714285714, 0.8714285714285713, 0.5128571428571428, 0.65]",active-listening|coordination|critical-thinking|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-1094.00,Community Health Workers,"Promote health within a community by assisting individuals to adopt healthy behaviors. Serve as an advocate for the health needs of individuals by assisting community residents in effectively communicating with healthcare providers or social service agencies. Act as liaison or advocate and implement programs that promote, maintain, and improve individual and overall community health. May deliver health-related preventive services such as blood pressure, glaucoma, and hearing screenings. May collect data to help identify community health needs.",,"[0.27714285714285714, 0.4985714285714286, 0.32, 0.9400000000000001, 0.5, 0.48]",active-learning|active-listening|coordination|critical-thinking|learning-strategies|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-2011.00,Clergy,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.,,"[0.30142857142857143, 0.3057142857142857, 0.49714285714285716, 0.84, 0.5971428571428571, 0.4042857142857143]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
21-2021.00,"Directors, Religious Activities and Education","Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.",,"[0.14285714285714285, 0.4057142857142857, 0.49000000000000005, 0.9971428571428572, 0.8642857142857142, 0.46]",active-learning|active-listening|coordination|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
23-1011.00,Lawyers,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.",,"[0.16714285714285712, 0.6457142857142857, 0.3314285714285714, 0.4928571428571429, 0.7914285714285715, 0.6485714285714286]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|writing
23-1012.00,Judicial Law Clerks,Assist judges in court or by conducting research or preparing legal documents.,,"[0.23285714285714285, 0.6142857142857142, 0.3242857142857143, 0.45, 0.6271428571428571, 0.7185714285714286]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|persuasion|reading-comprehension|speaking|time-management|writing
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",,"[0.14857142857142858, 0.5728571428571428, 0.22428571428571428, 0.4342857142857143, 0.7485714285714286, 0.7699999999999999]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
23-1022.00,"Arbitrators, Mediators, and Conciliators",Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,,"[0.14285714285714285, 0.5528571428571428, 0.33, 0.6057142857142858, 0.71, 0.6171428571428572]",active-learning|active-listening|complex-problem-solving|critical-thinking|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|writing
23-1023.00,"Judges, Magistrate Judges, and Magistrates","Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.",,"[0.3385714285714286, 0.5357142857142857, 0.3157142857142857, 0.5714285714285714, 0.75, 0.5871428571428572]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|social-perceptiveness|speaking|time-management|writing
23-2011.00,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",,"[0.24428571428571427, 0.6514285714285714, 0.2914285714285714, 0.4685714285714285, 0.6014285714285714, 0.7842857142857144]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
23-2093.00,"Title Examiners, Abstractors, and Searchers","Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies.",,"[0.3442857142857143, 0.3814285714285714, 0.1657142857142857, 0.3314285714285714, 0.4828571428571428, 0.9557142857142857]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|monitoring|reading-comprehension|speaking|time-management|writing
25-1011.00,"Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.2842857142857143, 0.6914285714285714, 0.4571428571428572, 0.9185714285714285, 0.5442857142857143, 0.5385714285714286]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1021.00,"Computer Science Teachers, Postsecondary","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.45, 0.8085714285714286, 0.4585714285714286, 0.8285714285714285, 0.32142857142857145, 0.5885714285714286]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1022.00,"Mathematical Science Teachers, Postsecondary","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.4057142857142857, 0.8285714285714285, 0.43857142857142856, 0.8814285714285715, 0.27999999999999997, 0.6342857142857143]",active-learning|active-listening|critical-thinking|instructing|learning-strategies|mathematics|monitoring|reading-comprehension|speaking|writing
25-1031.00,"Architecture Teachers, Postsecondary","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.4828571428571428, 0.7328571428571429, 0.6328571428571428, 0.9585714285714285, 0.35857142857142854, 0.4757142857142857]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1032.00,"Engineering Teachers, Postsecondary","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.6914285714285714, 0.7699999999999999, 0.45142857142857146, 0.8228571428571428, 0.2857142857142857, 0.49142857142857144]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|mathematics|monitoring|reading-comprehension|speaking|writing
25-1041.00,"Agricultural Sciences Teachers, Postsecondary","Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.5814285714285715, 0.7671428571428571, 0.41000000000000003, 0.8857142857142858, 0.3757142857142857, 0.48714285714285716]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1042.00,"Biological Science Teachers, Postsecondary",Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.5700000000000001, 0.8442857142857143, 0.47285714285714286, 0.8885714285714286, 0.29, 0.5157142857142857]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|science|speaking|writing
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.5742857142857142, 0.8271428571428572, 0.4342857142857143, 0.9342857142857143, 0.3385714285714286, 0.5014285714285714]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",,"[0.5628571428571428, 0.7928571428571428, 0.4471428571428571, 0.9414285714285714, 0.3314285714285714, 0.5485714285714286]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|mathematics|monitoring|reading-comprehension|science|speaking|writing
25-1052.00,"Chemistry Teachers, Postsecondary","Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include providing instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",,"[0.5785714285714285, 0.8314285714285715, 0.4228571428571429, 0.8171428571428571, 0.29714285714285715, 0.5385714285714286]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|science|speaking|writing
25-1053.00,"Environmental Science Teachers, Postsecondary",Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.5371428571428571, 0.8928571428571429, 0.4857142857142857, 0.8971428571428571, 0.33714285714285713, 0.5114285714285715]",active-learning|active-listening|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|science|speaking|writing
25-1054.00,"Physics Teachers, Postsecondary",Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.5357142857142857, 0.8385714285714286, 0.4585714285714286, 0.8585714285714285, 0.33714285714285713, 0.5599999999999999]",active-learning|active-listening|critical-thinking|instructing|learning-strategies|mathematics|monitoring|reading-comprehension|science|speaking|writing
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.5157142857142857, 0.86, 0.5028571428571429, 0.9357142857142857, 0.34142857142857147, 0.4957142857142857]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|science|speaking|writing
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.4257142857142857, 0.7514285714285714, 0.5485714285714286, 1.0, 0.42714285714285716, 0.4257142857142857]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|speaking|time-management|writing
25-1063.00,"Economics Teachers, Postsecondary",Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.3871428571428571, 0.79, 0.43714285714285717, 0.8885714285714286, 0.4842857142857143, 0.5542857142857143]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|mathematics|monitoring|reading-comprehension|speaking|writing
25-1064.00,"Geography Teachers, Postsecondary",Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.49000000000000005, 0.8228571428571428, 0.5228571428571429, 0.9514285714285714, 0.3614285714285714, 0.5271428571428571]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1065.00,"Political Science Teachers, Postsecondary","Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.30142857142857143, 0.78, 0.5157142857142857, 0.9642857142857143, 0.4585714285714286, 0.45142857142857146]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1066.00,"Psychology Teachers, Postsecondary","Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.30428571428571427, 0.7942857142857143, 0.55, 1.0, 0.3385714285714286, 0.4657142857142857]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|science|social-perceptiveness|speaking|writing
25-1067.00,"Sociology Teachers, Postsecondary",Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.3614285714285714, 0.7957142857142857, 0.51, 0.9514285714285714, 0.3657142857142857, 0.48714285714285716]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|science|social-perceptiveness|speaking|writing
25-1071.00,"Health Specialties Teachers, Postsecondary","Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.",,"[0.49714285714285716, 0.7842857142857144, 0.4185714285714286, 0.9957142857142857, 0.2671428571428572, 0.53]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.43, 0.6914285714285714, 0.47000000000000003, 1.0, 0.3071428571428571, 0.4785714285714286]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
25-1081.00,"Education Teachers, Postsecondary","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.3842857142857143, 0.7014285714285714, 0.5028571428571429, 1.0, 0.3757142857142857, 0.5057142857142857]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1082.00,"Library Science Teachers, Postsecondary",Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.39428571428571424, 0.7814285714285714, 0.48714285714285716, 0.9071428571428571, 0.3271428571428571, 0.5628571428571428]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.37142857142857144, 0.6985714285714285, 0.4628571428571429, 0.9757142857142858, 0.49142857142857144, 0.5228571428571429]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
25-1112.00,"Law Teachers, Postsecondary",Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.3314285714285714, 0.7585714285714286, 0.49000000000000005, 0.9271428571428572, 0.5028571428571429, 0.5371428571428571]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|persuasion|reading-comprehension|speaking|writing
25-1113.00,"Social Work Teachers, Postsecondary",Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.3314285714285714, 0.7057142857142857, 0.5214285714285715, 1.0, 0.4114285714285714, 0.48857142857142855]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.4571428571428572, 0.5857142857142856, 0.8371428571428572, 0.99, 0.3028571428571429, 0.34714285714285714]",active-learning|active-listening|critical-thinking|instructing|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|time-management|writing
25-1122.00,"Communications Teachers, Postsecondary","Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.29, 0.6557142857142857, 0.5571428571428572, 1.0, 0.4557142857142857, 0.48]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
25-1123.00,"English Language and Literature Teachers, Postsecondary","Teach courses in English language and literature, including linguistics and comparative literature. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.33571428571428574, 0.6799999999999999, 0.5985714285714286, 1.0, 0.3442857142857143, 0.5071428571428571]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.3028571428571429, 0.6314285714285715, 0.5700000000000001, 1.0, 0.3671428571428571, 0.5285714285714286]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
25-1125.00,"History Teachers, Postsecondary",Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,,"[0.41000000000000003, 0.7728571428571429, 0.5557142857142857, 0.9842857142857142, 0.35714285714285715, 0.51]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.3485714285714286, 0.7342857142857142, 0.5385714285714286, 1.0, 0.40285714285714286, 0.47000000000000003]",active-learning|active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|speaking|writing
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,"[0.43142857142857144, 0.7014285714285714, 0.49142857142857144, 1.0, 0.3871428571428571, 0.5042857142857142]",active-learning|active-listening|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
